Date,Temp,Hum,Light,Is_Raining,Will_Rain
2023-04-10 14:50,28600,65700,1314,NO,NO
2023-04-10 14:52,28600,65600,1280,NO,NO
2023-04-10 14:54,28600,65800,1264,NO,NO
2023-04-10 14:56,28600,65500,1271,NO,NO
2023-04-10 14:58,28600,65200,1266,NO,NO
2023-04-10 15:00,28600,65400,1271,NO,NO
2023-04-10 15:02,28600,66300,1265,NO,NO
2023-04-10 15:04,28600,65800,1257,NO,NO
2023-04-10 15:06,28600,65900,1264,NO,NO
2023-04-10 15:08,28600,66000,1251,NO,NO
2023-04-10 15:10,28600,66000,1259,NO,NO
2023-04-10 15:12,28600,65000,1277,NO,NO
2023-04-10 15:14,28600,65300,1271,NO,NO
2023-04-10 15:16,28600,65700,1302,NO,NO
2023-04-10 15:18,28600,66000,1297,NO,NO
2023-04-10 15:20,28600,66500,1319,NO,NO
2023-04-10 15:22,28600,66300,1359,NO,NO
2023-04-10 15:24,28600,66400,1377,NO,NO
2023-04-10 15:26,28600,66700,1419,NO,NO
2023-04-10 15:28,28600,67100,1456,NO,NO
2023-04-10 15:30,28600,66500,1479,NO,NO
2023-04-10 15:32,28500,66300,1504,NO,NO
2023-04-10 15:34,28500,66400,1549,NO,NO
2023-04-10 15:36,28500,66600,1603,NO,NO
2023-04-10 15:38,28500,67200,1627,NO,NO
2023-04-10 15:40,28500,67000,1654,NO,NO
2023-04-10 15:42,28400,67000,1673,NO,NO
2023-04-10 15:44,28400,66400,1699,NO,NO
2023-04-10 15:46,28400,66600,1723,NO,NO
2023-04-10 15:48,28400,66900,1721,NO,NO
2023-04-10 15:50,28400,67600,1771,NO,NO
2023-04-10 15:52,28400,68100,1666,NO,NO
2023-04-10 15:54,28400,69400,1715,NO,NO
2023-04-10 15:56,28400,67600,1751,NO,NO
2023-04-10 15:58,28400,66400,1790,NO,NO
2023-04-10 16:00,28400,66500,1808,NO,NO
2023-04-10 16:08,28300,66700,1860,NO,NO
2023-04-10 16:10,28300,66900,1873,NO,NO
2023-04-10 16:12,28300,66600,1918,NO,NO
2023-04-10 16:14,28200,66200,1979,NO,NO
2023-04-10 16:16,28200,66800,2038,NO,NO
2023-04-10 16:18,28200,67900,2086,NO,NO
2023-04-10 16:20,28200,68600,2143,NO,NO
2023-04-10 16:22,28200,69200,2230,NO,NO
2023-04-10 16:24,28200,69600,2317,NO,NO
2023-04-10 16:34,28000,70600,2819,NO,NO
2023-04-10 16:36,28000,70700,2915,NO,NO
2023-04-10 16:38,28000,70800,3020,NO,NO
2023-04-10 16:44,27900,71500,3361,NO,NO
2023-04-10 16:46,27900,71600,3489,NO,NO
2023-04-10 16:48,27900,71700,3615,NO,NO
2023-04-10 18:16,28300,67900,3498,NO,NO
2023-04-10 18:18,28550,70350,3490,NO,NO
2023-04-10 18:22,28725,71725,3509,NO,NO
2023-04-10 18:24,28812,72262,3509,NO,NO
2023-04-10 18:26,28856,72381,3517,NO,NO
2023-04-10 18:28,28700,64100,3806,NO,NO
2023-04-10 18:30,28800,72800,3951,NO,NO
2023-04-10 18:32,28900,73100,4023,NO,NO
2023-04-10 18:34,28900,72800,4059,NO,NO
2023-04-10 18:36,28900,72500,4077,NO,NO
2023-04-10 18:38,28900,72200,4086,NO,NO
2023-04-10 18:40,28900,72400,4090,NO,NO
2023-04-10 18:42,28900,72400,4093,NO,NO
2023-04-10 18:44,28900,72200,4094,NO,NO
2023-04-10 18:46,28900,72300,4094,NO,NO
2023-04-10 18:48,28900,71800,3978,NO,NO
2023-04-10 18:50,28900,71900,3802,NO,NO
2023-04-10 18:52,28900,71400,3832,NO,NO
2023-04-10 18:54,28900,71700,3905,NO,NO
2023-04-10 18:56,28900,71300,4000,NO,NO
2023-04-10 18:58,28900,71400,4047,NO,NO
2023-04-10 19:00,28900,71200,4071,NO,NO
2023-04-10 19:02,28900,71000,4083,NO,NO
2023-04-10 19:04,28900,71300,4089,NO,NO
2023-04-10 19:06,28900,70700,4092,NO,NO
2023-04-10 19:08,28900,70900,4094,NO,NO
2023-04-10 19:10,28900,71000,4094,NO,NO
2023-04-10 19:12,28900,70900,4095,NO,NO
2023-04-10 19:14,28700,62100,4095,NO,NO
2023-04-10 19:16,28150,64950,4095,NO,NO
2023-04-10 19:18,27600,67800,4095,NO,NO
2023-04-10 19:20,27300,68500,4095,NO,NO
2023-04-10 19:22,27400,69400,4095,NO,NO
2023-04-10 19:24,27500,70400,4095,NO,NO
2023-04-10 19:26,27300,69900,4095,NO,NO
2023-04-10 19:28,27200,69400,4095,NO,NO
2023-04-10 19:30,27100,68800,4095,NO,NO
2023-04-10 19:32,27100,68700,4095,NO,NO
2023-04-10 19:34,27000,69100,3861,NO,NO
2023-04-10 19:36,27000,69200,3627,NO,NO
2023-04-10 19:38,27000,69100,3861,NO,NO
2023-04-10 19:40,27000,68600,3978,NO,NO
2023-04-10 19:42,26900,68200,4095,NO,NO
2023-04-10 19:44,27000,68900,4095,NO,NO
2023-04-10 19:46,27000,68400,4095,NO,NO
2023-04-10 19:48,27000,68400,4095,NO,NO
2023-04-10 19:50,26900,68600,4095,NO,NO
2023-04-10 19:52,26900,68800,4095,NO,NO
2023-04-10 19:54,26900,68700,4095,NO,NO
2023-04-10 19:56,26900,68600,4095,NO,NO
2023-04-10 19:58,26800,67600,4095,NO,NO
2023-04-10 20:00,26800,67800,4095,NO,NO
2023-04-10 20:02,26800,67600,4095,NO,NO
2023-04-10 20:04,26800,67300,4095,NO,NO
2023-04-10 20:06,26800,66500,4095,NO,NO
2023-04-10 20:08,26700,66200,4095,NO,NO
2023-04-10 20:10,26700,66200,4095,NO,NO
2023-04-10 20:12,26700,66400,4095,NO,NO
2023-04-10 20:14,26700,66500,4095,NO,NO
2023-04-10 20:16,26700,66700,4095,NO,NO
2023-04-10 20:18,26700,66800,4095,NO,NO
2023-04-10 20:20,26700,67100,4095,NO,NO
2023-04-10 20:22,26700,67000,4095,NO,NO
2023-04-10 20:24,26600,66400,4095,NO,NO
2023-04-10 20:26,26600,65900,4095,NO,NO
2023-04-10 20:28,26600,66100,4095,NO,NO
2023-04-10 20:30,26600,65800,4095,NO,NO
2023-04-10 20:32,26600,66100,4095,NO,NO
2023-04-10 20:34,26600,66200,4095,NO,NO
2023-04-10 20:36,26600,66500,4095,NO,NO
2023-04-10 20:40,26500,66000,4095,NO,NO
2023-04-10 20:42,26500,66900,4095,NO,NO
2023-04-10 20:44,26500,67400,4095,NO,NO
2023-04-10 20:46,26500,67200,4095,NO,NO
2023-04-10 20:48,26500,66700,4095,NO,NO
2023-04-10 20:50,26500,67300,4095,NO,NO
2023-04-10 20:52,26400,67500,4095,NO,NO
2023-04-10 20:54,26400,67400,4095,NO,NO
2023-04-10 20:56,26400,67500,4095,NO,NO
2023-04-10 20:58,26400,67800,4095,NO,NO
2023-04-10 21:00,26400,67900,4095,NO,NO
2023-04-10 21:02,26400,68300,4095,NO,NO
2023-04-10 21:04,26400,68800,4095,NO,NO
2023-04-10 21:06,26400,69400,4095,NO,NO
2023-04-10 21:08,26400,69700,4095,NO,NO
2023-04-10 21:10,26300,70000,4095,NO,NO
2023-04-10 21:12,26300,70400,4095,NO,NO
2023-04-10 21:14,26300,70500,4095,NO,NO
2023-04-10 21:16,26300,70500,4095,NO,NO
2023-04-10 21:18,26300,70700,4095,NO,NO
2023-04-10 21:20,26300,70800,4095,NO,NO
2023-04-10 21:22,26300,71300,4095,NO,NO
